,winrate,ban_pick_rate,core_items,main_roles
Xerath,47.74,13.095,"[""Luden's Companion"", ""Sorcerer's Shoes"", ""Zaz'Zak's Realmspike""]","['MIDDLE', 'UTILITY']"
XinZhao,50.83,1.305,"['Sundered Sky', 'Eclipse', 'Plated Steelcaps']",['JUNGLE']
Yasuo,45.54,16.775,"[""Berserker's Greaves"", 'Blade of The Ruined King', 'Infinity Edge']","['TOP', 'MIDDLE']"
Yone,46.69,24.275,"['Blade of The Ruined King', ""Berserker's Greaves"", 'Immortal Shieldbow']","['TOP', 'MIDDLE']"
Yorick,48.43,2.565,"['Trinity Force', 'Plated Steelcaps', ""Serylda's Grudge""]",['TOP']
Yuumi,48.35,27.955,"['Dream Maker', 'Moonstone Renewer', ""Mikael's Blessing""]",['UTILITY']
Zac,49.66,4.685,"['Sunfire Aegis', 'Ionian Boots of Lucidity', 'Thornmail']","['TOP', 'JUNGLE', 'UTILITY']"
Zed,45.14,8.905,"['Eclipse', 'Ionian Boots of Lucidity', 'Voltaic Cyclosword']",['MIDDLE']
Zeri,48.81,3.65,"['Statikk Shiv', ""Runaan's Hurricane"", ""Berserker's Greaves""]",['BOTTOM']
Ziggs,50.85,3.26,"[""Luden's Companion"", ""Sorcerer's Shoes"", ""Seraph's Embrace""]","['MIDDLE', 'BOTTOM']"
Zilean,52.53,1.45,"['Ionian Boots of Lucidity', ""Shurelya's Battlesong"", 'Celestial Opposition']",['UTILITY']
Zoe,53.16,12.555,"[""Sorcerer's Shoes"", ""Luden's Companion"", 'Lich Bane']","['MIDDLE', 'UTILITY']"
Zyra,48.39,2.11,"[""Zaz'Zak's Realmspike"", ""Liandry's Torment"", ""Sorcerer's Shoes""]","['JUNGLE', 'UTILITY']"
